Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_550nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),date,cidade,data_aeronet,hora_aeronet,data_goes,hora_goes,lat,lon,aod
2024-08-20,10:10:24,233,0.2295259445244304,0.09092,0.1135,0.167857,0.269599,0.324003,0.386625,1.148148,1.547639,1.304393,1.54491,1.5645,1.054688,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-20,Sao_Paulo,2024-08-20,18:01:10,2024-08-20,18:00:20,-23.559236726336923,-46.74454412367535,0.3175761997699737
2024-08-21,11:26:59,234,0.4023715906370362,0.164328,0.20902,0.307145,0.465756,0.542734,0.619006,1.412384,1.404817,1.027848,1.341035,1.446692,0.808774,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-21,Sao_Paulo,2024-08-21,18:00:56,2024-08-21,18:00:20,-23.559236726336923,-46.74454412367535,0.3219686150550842
2024-08-23,12:34:42,236,0.2431664548880802,0.115452,0.135832,0.181667,0.278297,0.334122,0.401842,1.173355,1.330817,1.329932,1.424016,1.300473,1.146668,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-23,Sao_Paulo,2024-08-23,19:05:26,2024-08-23,19:00:20,-23.559236726336923,-46.74454412367535,0.434784471988678
2024-08-26,12:44:40,239,0.1028260393782141,0.046967,0.056506,0.075494,0.119762,0.144311,0.170567,0.721681,1.394422,1.278412,1.518897,1.363376,0.969045,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-26,Sao_Paulo,2024-08-26,18:04:39,2024-08-26,18:00:20,-23.559236726336923,-46.74454412367535,0.2335037440061569
2024-08-27,11:16:20,240,0.1142217823583491,0.052458,0.064863,0.088826,0.1276,0.150038,0.17014,0.448908,1.226953,1.038428,1.222292,1.222761,0.743467,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-27,Sao_Paulo,2024-08-27,18:04:22,2024-08-27,18:00:20,-23.559236726336923,-46.74454412367535,0.1721639931201934
2024-08-28,13:44:06,241,0.2402223909040869,0.105836,0.132897,0.185976,0.275514,0.318879,0.357931,1.068164,1.291961,0.944722,1.269347,1.317806,0.708184,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-28,Sao_Paulo,2024-08-28,18:04:05,2024-08-28,18:00:20,-23.559236726336923,-46.74454412367535,0.3251280784606933
2024-08-29,12:02:55,242,0.4357673594160092,0.192545,0.241094,0.343338,0.500252,0.56868,0.637871,1.601245,1.266312,0.878563,1.192996,1.317658,0.702509,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-29,Sao_Paulo,2024-08-29,18:03:47,2024-08-29,18:00:20,-23.559236726336923,-46.74454412367535,0.3061713278293609
2024-08-30,10:03:28,243,0.1868372037179261,0.081374,0.100391,0.142063,0.215574,0.252795,0.293339,1.140607,1.36307,1.114088,1.354918,1.381871,0.916308,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-30,Sao_Paulo,2024-08-30,18:03:29,2024-08-30,18:00:20,-23.559236726336923,-46.74454412367535,0.2284948378801345
2024-08-31,10:02:42,244,0.2317448826430706,0.10129,0.127066,0.180973,0.265153,0.30485,0.346678,0.975027,1.288627,0.9695,1.228728,1.328173,0.789598,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-08-31,Sao_Paulo,2024-08-31,18:03:11,2024-08-31,18:00:20,-23.559236726336923,-46.74454412367535,0.5048320293426514
2024-09-01,10:01:41,245,0.2254619643085234,0.093974,0.115314,0.166938,0.262294,0.313722,0.375503,1.134657,1.475751,1.298839,1.480463,1.486322,1.147166,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-09-01,Sao_Paulo,2024-09-01,18:02:52,2024-09-01,18:00:20,-23.559236726336923,-46.74454412367535,0.4972030520439148
2024-09-02,10:35:59,246,1.2225289917685125,0.422697,0.581569,0.931261,1.448341,1.661265,,1.784882,1.545337,1.068934,1.374262,1.644251,,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-09-02,Sao_Paulo,2024-09-02,18:02:33,2024-09-02,18:00:20,-23.559236726336923,-46.74454412367535,1.3422430753707886
2024-09-03,10:34:44,247,1.375711121647195,0.504802,0.68874,1.07634,1.610204,1.815853,,1.843757,1.426613,0.936708,1.243973,1.529554,,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-09-03,Sao_Paulo,2024-09-03,18:02:14,2024-09-03,18:00:20,-23.559236726336923,-46.74454412367535,0.7591300010681152
2024-09-04,09:55:47,248,0.3719717147397458,0.13987,0.1824,0.278619,0.437607,0.513066,0.590763,1.133879,1.524207,1.084748,1.441165,1.57978,0.95599,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-09-04,Sao_Paulo,2024-09-04,18:01:54,2024-09-04,18:00:20,-23.559236726336923,-46.74454412367535,0.3813048303127289
2024-09-05,10:15:24,249,0.8657084833457982,0.310364,0.406347,0.633767,1.029502,1.224303,,1.536949,1.626219,1.350556,1.553165,1.678726,,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-09-05,Sao_Paulo,2024-09-05,18:01:34,2024-09-05,18:00:20,-23.559236726336923,-46.74454412367535,0.5410501956939697
2024-09-07,11:30:53,251,1.335255783617579,0.523712,0.69853,1.061103,1.547184,1.731617,1.878896,1.745719,1.335902,0.700529,1.164868,1.432224,0.445262,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-09-07,Sao_Paulo,2024-09-07,18:00:53,2024-09-07,18:00:20,-23.559236726336923,-46.74454412367535,1.0901798009872437
2024-09-08,10:29:17,252,1.3404371442260576,0.478729,0.663205,1.050124,1.575906,1.768823,,1.695912,1.444259,0.899999,1.242781,1.558362,,lev15,1120,Sao_Paulo,-23.5615,-46.734983,786.0,2024-09-08,Sao_Paulo,2024-09-08,18:00:32,2024-09-08,18:00:20,-23.559236726336923,-46.74454412367535,1.0780043601989746
